# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=8
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=110970316
# chain_id=2
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,mu
-13.4411,1,0.25,1,1,0,1.28657
-13.4411,0,14.3855,1,1,1,1.28657
-13.4411,0,2.43117,1,1,1,1.28657
-12.2451,1,0.239791,2,3,0,1.1915
-9.33591,1,0.324332,1,1,0,0.827072
-9.33591,0.0683149,0.507206,1,1,0,0.827072
-9.24709,0.999613,0.0498072,2,3,0,0.80552
-9.48793,0.981358,0.0849053,3,7,0,0.859674
-9.06813,1,0.143374,2,3,0,0.752496
-9.50865,0.857476,0.264147,1,1,0,0.863792
-9.47246,0.482239,0.315203,2,3,0,0.364122
-8.92396,0.980512,0.115982,3,7,0,0.534181
-9.01435,0.95924,0.207537,2,3,0,0.732131
-9.01435,0.514959,0.347825,1,1,0,0.732131
-9.00728,1,0.145674,1,1,0,0.729196
-8.87421,1,0.278026,2,3,0,0.63909
-8.87421,0.249319,0.527377,1,1,0,0.63909
-9.54024,0.961541,0.100266,3,7,0,0.350727
-10.0025,0.978567,0.169538,2,3,0,0.273298
-8.87809,0.992844,0.299644,2,3,0,0.645199
-8.87809,8.42009e-13,0.548058,1,1,0,0.645199
-8.86607,0.999873,0.0527443,3,7,0,0.606651
-8.92779,0.996925,0.0990593,3,7,0,0.688962
-8.97484,0.990422,0.182611,2,3,0,0.714668
-8.97484,0.472845,0.327106,1,1,0,0.714668
-8.88348,1,0.132259,2,3,0,0.652208
-9.1131,0.918319,0.241819,2,3,0,0.767514
-9.1131,0.83558,0.347974,2,3,0,0.767514
-8.89836,1,0.395279,1,1,0,0.667268
-8.89836,0.0489255,0.705592,1,1,0,0.667268
-8.978,0.9942,0.0922245,2,3,0,0.71617
-9.09095,0.955642,0.162454,3,7,0,0.46037
-9.18998,0.968166,0.255543,1,1,0,0.430369
-9.18998,0.0974362,0.41259,1,1,0,0.430369
-8.98739,0.995372,0.0657564,3,5,0,0.500158
-9.67935,0.928358,0.114388,2,3,0,0.325203
-8.92949,0.895996,0.165603,2,3,0,0.69004
-8.95887,0.933982,0.219194,2,3,0,0.51396
-9.15742,0.904182,0.31845,1,1,0,0.439652
-9.15742,0.0915726,0.426336,1,1,0,0.439652
-9.07363,1,0.0727293,4,15,0,0.754418
-8.97262,0.983733,0.124652,3,7,0,0.713599
-9.15423,0.963073,0.203505,1,1,0,0.780087
-9.19412,0.78387,0.3134,2,3,0,0.429224
-9.38856,0.911421,0.308797,1,1,0,0.381785
-9.38856,0.17436,0.415352,1,1,0,0.381785
-8.86599,0.994084,0.0933117,3,7,0,0.612627
-8.86862,0.998072,0.153726,3,7,0,0.626727
-9.06698,0.946443,0.253899,2,3,0,0.468582
-9.06698,0.00522129,0.368437,1,1,0,0.468582
