# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=8
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=110970316
# chain_id=1
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,mu
-9.20608,1,0.25,2,3,0,0.794721
-9.20608,0,14.3855,1,1,1,0.794721
-9.20608,0,2.43117,1,1,1,0.794721
-8.88552,1,0.239791,2,3,0,0.654577
-8.88552,0.316731,0.324332,1,1,0,0.654577
-8.91431,0.999519,0.0661419,3,5,0,0.679875
-8.90693,0.995689,0.10641,3,5,0,0.546325
-8.86924,0.99545,0.181464,2,3,0,0.628507
-8.86924,0.0308801,0.322659,1,1,0,0.628507
-8.89144,0.999906,0.0279716,4,15,0,0.660822
-8.89379,0.998655,0.0522055,4,15,0,0.557574
-8.96092,0.992827,0.0983604,3,7,0,0.707773
-10.7203,0.843798,0.183057,3,7,0,0.17982
-8.86933,1,0.213748,2,3,0,0.628762
-9.08796,0.834083,0.407289,1,1,0,0.759304
-9.08796,0.0202743,0.461881,1,1,0,0.759304
-8.87224,0.998703,0.0428392,4,11,0,0.635446
-9.00519,0.987561,0.0818325,3,7,0,0.728313
-9.09479,0.989971,0.149958,1,1,0,0.761577
-9.36476,0.967736,0.274552,2,3,0,0.387049
-9.36476,0.00116401,0.466281,1,1,0,0.387049
-9.13023,1,0.0450898,3,7,0,0.447806
-9.02408,0.999398,0.0848273,2,3,0,0.484615
-9.13548,0.894718,0.157712,2,3,0,0.774475
-9.32781,0.872006,0.214679,2,3,0,0.395477
-11.2955,0.481433,0.272511,1,1,0,0.117555
-11.0927,1,0.113972,1,1,0,0.13857
-9.05067,1,0.207618,2,3,0,0.746219
-9.05067,0.436021,0.374442,1,1,0,0.746219
-9.07526,0.997562,0.14087,1,1,0,0.75498
-8.92629,1,0.250736,2,3,0,0.532669
-8.91599,1,0.444991,1,1,0,0.539603
-8.91599,0.00221019,0.782341,1,1,0,0.539603
-8.91192,1,0.0947606,1,1,0,0.542542
-9.47511,0.958201,0.167144,3,7,0,0.363583
-9.97881,0.947153,0.261737,2,3,0,0.943851
-9.92156,1,0.395386,2,3,0,0.285514
-9.92156,4.3749e-22,0.680389,1,1,0,0.285514
-10.0522,0.994837,0.0889903,1,1,0,0.265998
-10.2522,0.890291,0.151572,3,5,0,0.98257
-9.42039,1,0.196559,2,3,0,0.845747
-10.5888,0.520162,0.334407,1,1,0,1.0253
-10.6453,0.921668,0.170679,2,3,0,1.03206
-8.86669,1,0.237553,2,3,0,0.619034
-8.86669,0.10097,0.398842,1,1,0,0.619034
-10.0059,0.972975,0.0741598,3,5,0,0.947882
-9.89318,0.993002,0.116695,2,3,0,0.930764
-8.87538,1,0.191452,2,3,0,0.579605
-8.87538,0.453352,0.317192,1,1,0,0.579605
-9.32734,0.964728,0.142635,3,5,0,0.825086
-8.98884,0.999881,0.216363,3,7,0,0.499503
-10.8568,0.309336,0.354353,1,1,0,1.05641
-10.8302,0.985912,0.11567,2,3,0,1.05342
-8.90095,0.948824,0.182947,2,3,0,0.669493
-9.21906,0.942865,0.264144,2,3,0,0.798206
-8.87485,1,0.374438,1,1,0,0.58049
-8.87485,0.896412,0.601516,1,1,0,0.58049
-8.87485,0.0219488,0.760576,1,1,0,0.58049
-10.4884,0.891085,0.135234,3,5,0,1.01304
-10.0194,1,0.169995,1,1,0,0.949877
-9.25069,1,0.27116,2,3,0,0.414234
-9.61756,0.712127,0.430099,1,1,0,0.336247
-9.61756,0.0168819,0.361474,1,1,0,0.336247
-9.38542,1,0.067115,2,3,0,0.382471
-9.86038,0.916867,0.106425,3,5,0,0.925607
-9.81742,1,0.140384,2,3,0,0.918721
-10.3276,0.961105,0.220486,2,3,0,0.99256
-10.2728,0.629047,0.317183,2,3,0,0.23535
-9.34334,1,0.225186,1,1,0,0.391897
-8.91312,1,0.350056,1,1,0,0.541664
-8.91312,0.112127,0.541544,1,1,0,0.541664
-9.01457,0.987585,0.131471,2,3,0,0.488451
-9.1629,0.962794,0.198305,2,3,0,0.438053
-8.87876,0.844842,0.282985,2,3,0,0.646135
-8.88603,0.996374,0.315966,1,1,0,0.655152
-8.88603,0.244934,0.479834,1,1,0,0.655152
-9.30814,0.891954,0.158139,2,3,0,0.400103
-9.64915,0.916112,0.194367,2,3,0,0.330548
-9.64915,0.61988,0.250229,1,1,0,0.330548
-10.229,0.91236,0.177816,1,1,0,0.241229
-10.4708,0.979905,0.226719,2,3,0,0.209825
-11.3463,0.443256,0.329589,2,3,0,1.10824
-11.025,1,0.165984,1,1,0,1.07488
-9.77866,1,0.250426,1,1,0,0.912376
-9.77866,0.211816,0.376337,1,1,0,0.912376
-8.91925,0.982345,0.122011,3,7,0,0.683333
-8.97201,0.946416,0.177102,2,3,0,0.713307
-8.95019,1,0.239068,1,1,0,0.702103
-8.95019,0.0306322,0.35658,1,1,0,0.702103
-8.95655,0.955064,0.0835322,3,7,0,0.51517
-8.88129,0.999995,0.114521,3,7,0,0.571161
-8.87975,0.99322,0.170422,2,3,0,0.64749
-8.91165,0.97209,0.24951,2,3,0,0.677936
-8.88701,1,0.349943,1,1,0,0.656238
-8.88701,0.0344863,0.515482,1,1,0,0.656238
-8.96506,0.992517,0.126035,3,5,0,0.510801
-9.62607,0.81198,0.183274,2,3,0,0.885973
-9.42132,1,0.190534,1,1,0,0.845943
-8.89926,0.838303,0.279492,2,3,0,0.552624
-9.47507,0.826475,0.3042,2,3,0,0.363592
-9.47507,4.29277e-15,2.59043,1,1,0,0.363592
-9.47507,0,6.04883,1,1,1,0.363592
-9.11817,0.973072,0.59641,3,5,0,0.769117
-9.10249,1,0.578153,1,1,0,0.764102
-9.3567,0.832088,0.777945,2,3,0,0.38886
-9.57048,0.972404,0.734977,1,1,0,0.344971
-8.86968,1,1.13185,2,3,0,0.590978
-8.87542,0.994437,2.00262,1,1,0,0.579539
-8.87542,0.182454,3.59952,1,1,0,0.579539
-8.99952,0.994522,0.507179,3,7,0,0.494788
-8.95916,1,0.933124,1,1,0,0.513806
-8.95916,0.380094,1.76172,1,1,0,0.513806
-8.9718,0.98961,0.473322,3,5,0,0.713201
-8.90786,0.895429,0.873008,2,3,0,0.675067
-8.90384,0.93142,1.19764,2,3,0,0.671885
-10.2682,0.328578,1.83479,1,1,0,0.235966
-9.32392,0.976184,0.438121,2,3,0,0.396384
-9.15983,1,0.773386,1,1,0,0.438946
-9.12907,1,1.45697,2,3,0,0.772512
-9.12907,0.00146549,2.72013,1,1,0,0.772512
-8.99972,0.999291,0.25626,4,11,0,0.494699
-9.09485,0.991536,0.480096,3,7,0,0.459076
-8.87639,0.965764,0.870603,2,3,0,0.642668
-8.95693,0.959757,1.45079,1,1,0,0.705703
-9.07001,0.858861,2.3563,1,1,0,0.753158
-9.07001,0.00233053,2.8455,1,1,0,0.753158
-9.11174,0.999447,0.302685,3,7,0,0.767079
-8.90864,0.993396,0.550415,2,3,0,0.675673
-8.97626,0.984563,0.974398,1,1,0,0.715348
-10.9424,0.26589,1.66745,1,1,0,1.0659
-10.7383,1,0.395118,1,1,0,1.04293
-10.627,1,0.704118,1,1,0,1.02988
-9.45297,1,1.24292,2,3,0,0.368109
-10.7003,0.239731,2.1738,1,1,0,1.03852
-8.87102,0.979938,0.50229,3,7,0,0.587793
-9.14334,0.932861,0.831838,2,3,0,0.77685
-8.88751,0.983262,1.20866,2,3,0,0.563897
-8.88751,0.429273,1.98914,1,1,0,0.563897
-10.0956,0.754631,0.782881,2,3,0,0.960916
-9.87988,1,0.716184,1,1,0,0.928682
-9.14342,1,1.22032,2,3,0,0.776873
-9.14342,0.000433091,2.0627,1,1,0,0.776873
-9.12961,1,0.28639,1,1,0,0.772678
-8.96145,0.98698,0.485386,3,5,0,0.512631
-8.90379,0.969107,0.790632,2,3,0,0.548827
-8.86937,0.99712,1.22424,2,3,0,0.628855
